"","FighterId.x","Event.x","Result.x","Opponent.x","Round.x","Time.x","Method.x","DateEvent.x","Outcome.x","PreviousOutcome.x","start.x","streak_id.x","streak.x","StreakLength.x","WinRatio.x","CountFights.x","FinishRatio.x","FinishPrevious.x","FinishedRatio.x","FinishedPrevious.x","FinishedCount.x","FinishCount.x","DamageDiff.x","Fighter.x","OpponentId.x","FighterComposite","OpponentComposite","FighterId.y","Event.y","Result.y","Opponent.y","Round.y","Time.y","Method.y","DateEvent.y","Outcome.y","PreviousOutcome.y","start.y","streak_id.y","streak.y","StreakLength.y","WinRatio.y","CountFights.y","FinishRatio.y","FinishPrevious.y","FinishedRatio.y","FinishedPrevious.y","FinishedCount.y","FinishCount.y","DamageDiff.y","Fighter.y","OpponentId.y","FighterComposite.y","IdKey"
"21",104,"UFC on Fox 20 - Holm vs. Shevchenko","loss","Eddie Wineland",3,"1:54","TKO (Punches)",2016-07-23,0,0,FALSE,4,2,-1,0.769230769230769,13,0.384615384615385,FALSE,0.153846153846154,FALSE,2,5,1.66666666666667,"Frankie Saenz",112,"104_Eddie Wineland_2016-07-23","112_Frankie Saenz_2016-07-23",112,"UFC on Fox 20 - Holm vs. Shevchenko","win","Frankie Saenz",3,"1:54","TKO (Punches)",2016-07-23,1,0,TRUE,15,1,-2,0.636363636363636,33,0.515151515151515,FALSE,0.242424242424242,FALSE,8,17,1.88888888888889,"Eddie Wineland",104,"112_Frankie Saenz_2016-07-23",216
"22",104,"UFC Fight Night 129 - Maia vs. Usman","win","Enrique Briones",3,"5:00","Decision (Unanimous)",2018-05-19,1,1,FALSE,5,2,1,0.6875,16,0.3125,FALSE,0.1875,FALSE,3,5,1.25,"Frankie Saenz",139,"104_Enrique Briones_2018-05-19","139_Frankie Saenz_2018-05-19",139,"UFC Fight Night 129 - Maia vs. Usman","loss","Frankie Saenz",3,"5:00","Decision (Unanimous)",2018-05-19,0,0,FALSE,12,4,-3,0.666666666666667,24,0.583333333333333,FALSE,0.166666666666667,TRUE,4,14,2.8,"Enrique Briones",104,"139_Frankie Saenz_2018-05-19",243
"23",105,"UFC 67 - All or Nothing","win","Tyson Griffin",3,"5:00","Decision (Unanimous)",2007-02-03,1,1,FALSE,1,7,6,1,6,0.666666666666667,FALSE,0,FALSE,0,4,4,"Frankie Edgar",127,"105_Tyson Griffin_2007-02-03","127_Frankie Edgar_2007-02-03",127,"UFC 67 - All or Nothing","loss","Frankie Edgar",3,"5:00","Decision (Unanimous)",2007-02-03,0,1,TRUE,2,1,8,1,8,1,TRUE,0,FALSE,0,8,8,"Tyson Griffin",105,"127_Frankie Edgar_2007-02-03",232
"24",105,"UFC 156 - Aldo vs. Edgar","loss","Jose Aldo",5,"5:00","Decision (Unanimous)",2013-02-02,0,0,FALSE,6,3,-2,0.789473684210526,19,0.368421052631579,FALSE,0.0526315789473684,FALSE,1,7,3.5,"Frankie Edgar",114,"105_Jose Aldo_2013-02-02","114_Frankie Edgar_2013-02-02",114,"UFC 156 - Aldo vs. Edgar","win","Frankie Edgar",5,"5:00","Decision (Unanimous)",2013-02-02,1,1,FALSE,3,15,14,0.954545454545455,22,0.681818181818182,TRUE,0.0454545454545455,FALSE,1,15,7.5,"Jose Aldo",105,"114_Frankie Edgar_2013-02-02",219
"25",105,"UFC - The Ultimate Fighter 22 Finale","win","Chad Mendes",1,"2:28","KO (Punch)",2015-12-11,1,1,FALSE,7,5,4,0.791666666666667,24,0.375,FALSE,0.0416666666666667,FALSE,1,9,4.5,"Frankie Edgar",149,"105_Chad Mendes_2015-12-11","149_Frankie Edgar_2015-12-11",149,"UFC - The Ultimate Fighter 22 Finale","loss","Frankie Edgar",1,"2:28","KO (Punch)",2015-12-11,0,0,FALSE,6,2,-1,0.85,20,0.45,FALSE,0.1,TRUE,2,9,3,"Chad Mendes",105,"149_Frankie Edgar_2015-12-11",254
"26",105,"UFC 200 - Tate vs. Nunes","loss","Jose Aldo",5,"5:00","Decision (Unanimous)",2016-07-09,0,1,TRUE,8,1,5,0.8,25,0.4,TRUE,0.04,FALSE,1,10,5,"Frankie Edgar",114,"105_Jose Aldo_2016-07-09","114_Frankie Edgar_2016-07-09",114,"UFC 200 - Tate vs. Nunes","win","Frankie Edgar",5,"5:00","Decision (Unanimous)",2016-07-09,1,0,TRUE,5,1,-1,0.925925925925926,27,0.592592592592593,FALSE,0.0740740740740741,TRUE,2,16,5.33333333333333,"Jose Aldo",105,"114_Frankie Edgar_2016-07-09",219
"27",105,"UFC on ESPN 15 - Munhoz vs. Edgar","win","Pedro Munhoz",5,"5:00","Decision (Split)",2020-08-22,1,0,TRUE,13,1,-2,0.71875,32,0.34375,FALSE,0.09375,TRUE,3,11,2.75,"Frankie Edgar",82,"105_Pedro Munhoz_2020-08-22","82_Frankie Edgar_2020-08-22",82,"UFC on ESPN 15 - Munhoz vs. Edgar","loss","Frankie Edgar",5,"5:00","Decision (Split)",2020-08-22,0,0,FALSE,8,2,-1,0.782608695652174,23,0.565217391304348,FALSE,0.0434782608695652,FALSE,1,13,6.5,"Pedro Munhoz",105,"82_Frankie Edgar_2020-08-22",187
"28",106,"UFC - The Ultimate Fighter 13 Finale","loss","Reuben Duran",3,"1:57","Submission (Rear-Naked Choke)",2011-06-04,0,0,FALSE,2,2,-1,0.833333333333333,6,0.5,FALSE,0.166666666666667,TRUE,1,3,1.5,"Francisco Rivera",295,"106_Reuben Duran_2011-06-04","295_Francisco Rivera_2011-06-04",295,"UFC - The Ultimate Fighter 13 Finale","win","Francisco Rivera",3,"1:57","Submission (Rear-Naked Choke)",2011-06-04,1,0,TRUE,6,1,-1,0.636363636363636,11,0.545454545454545,FALSE,0.181818181818182,FALSE,2,6,2,"Reuben Duran",106,"295_Francisco Rivera_2011-06-04",401
"29",106,"UFC Fight Night 31 - Fight for the Troops 3","win","George Roop",2,"2:20","TKO (Punches)",2013-11-06,1,1,FALSE,5,2,1,0.75,12,0.5,TRUE,0.25,FALSE,3,6,1.5,"Francisco Rivera",86,"106_George Roop_2013-11-06","86_Francisco Rivera_2013-11-06",86,"UFC Fight Night 31 - Fight for the Troops 3","loss","Francisco Rivera",2,"2:20","TKO (Punches)",2013-11-06,0,1,TRUE,16,1,2,0.583333333333333,24,0.333333333333333,TRUE,0.291666666666667,FALSE,7,8,1,"George Roop",106,"86_Francisco Rivera_2013-11-06",192
"30",106,"UFC 173 - Barao vs. Dillashaw","loss","Takeya Mizugaki",3,"5:00","Decision (Unanimous)",2014-05-24,0,1,TRUE,6,1,2,0.769230769230769,13,0.538461538461538,TRUE,0.230769230769231,FALSE,3,7,1.75,"Francisco Rivera",113,"106_Takeya Mizugaki_2014-05-24","113_Francisco Rivera_2014-05-24",113,"UFC 173 - Barao vs. Dillashaw","win","Francisco Rivera",3,"5:00","Decision (Unanimous)",2014-05-24,1,1,FALSE,13,5,4,0.678571428571429,28,0.214285714285714,FALSE,0.142857142857143,FALSE,4,6,1.2,"Takeya Mizugaki",106,"113_Francisco Rivera_2014-05-24",219
"31",106,"UFC Fight Night 68 - Boetsch vs. Henderson","win","Alex Caceres",1,"0:21","KO (Punches)",2015-06-06,1,0,TRUE,7,1,-2,0.666666666666667,15,0.466666666666667,FALSE,0.266666666666667,TRUE,4,7,1.4,"Francisco Rivera",107,"106_Alex Caceres_2015-06-06","107_Francisco Rivera_2015-06-06",107,"UFC Fight Night 68 - Boetsch vs. Henderson","loss","Francisco Rivera",1,"0:21","KO (Punches)",2015-06-06,0,0,FALSE,10,3,-2,0.555555555555556,18,0.388888888888889,FALSE,0.333333333333333,FALSE,6,7,1,"Alex Caceres",106,"107_Francisco Rivera_2015-06-06",213
"32",107,"UFC on Fox 1 - Velasquez vs. Dos Santos","win","Cole Escovedo",3,"5:00","Decision (Unanimous)",2011-11-12,1,0,TRUE,5,1,-2,0.555555555555556,9,0.555555555555556,FALSE,0.444444444444444,TRUE,4,5,1,"Alex Caceres",124,"107_Cole Escovedo_2011-11-12","124_Alex Caceres_2011-11-12",124,"UFC on Fox 1 - Velasquez vs. Dos Santos","loss","Alex Caceres",3,"5:00","Decision (Unanimous)",2011-11-12,0,0,FALSE,8,3,-2,0.68,25,0.64,FALSE,0.2,TRUE,5,16,2.66666666666667,"Cole Escovedo",107,"124_Alex Caceres_2011-11-12",231
"33",107,"UFC on Fuel TV 8 - Silva vs. Stann","NC","Kyung Ho Kang",3,"5:00","No Contest (Caceres Failed Drug Test)",2013-03-03,0,1,TRUE,8,1,2,0.615384615384615,13,0.461538461538462,FALSE,0.307692307692308,FALSE,4,6,1.2,"Alex Caceres",218,"107_Kyung Ho Kang_2013-03-03","218_Alex Caceres_2013-03-03",218,"UFC on Fuel TV 8 - Silva vs. Stann","NC","Alex Caceres",3,"5:00","No Contest (Caceres Failed Drug Test)",2013-03-03,0,1,TRUE,12,1,3,0.647058823529412,17,0.588235294117647,TRUE,0.176470588235294,FALSE,3,10,2.5,"Kyung Ho Kang",107,"218_Alex Caceres_2013-03-03",325
"34",107,"UFC Fight Night 52 - Hunt vs. Nelson","loss","Masanori Kanehara",3,"5:00","Decision (Unanimous)",2014-09-20,0,0,FALSE,10,2,-1,0.588235294117647,17,0.411764705882353,FALSE,0.352941176470588,TRUE,6,7,1,"Alex Caceres",143,"107_Masanori Kanehara_2014-09-20","143_Alex Caceres_2014-09-20",143,"UFC Fight Night 52 - Hunt vs. Nelson","win","Alex Caceres",3,"5:00","Decision (Unanimous)",2014-09-20,1,0,TRUE,24,1,-1,0.6,40,0.45,FALSE,0.325,TRUE,13,18,1.28571428571429,"Masanori Kanehara",107,"143_Alex Caceres_2014-09-20",250
"35",107,"UFC Fight Night 175 - Smith vs. Rakic","win","Austin Springer",1,"3:38","Submission (Rear-Naked Choke)",2020-08-29,1,1,FALSE,17,3,2,0.551724137931034,29,0.275862068965517,FALSE,0.310344827586207,FALSE,9,8,0.8,"Alex Caceres",377,"107_Austin Springer_2020-08-29","377_Alex Caceres_2020-08-29",377,"UFC Fight Night 175 - Smith vs. Rakic","loss","Alex Caceres",1,"3:38","Submission (Rear-Naked Choke)",2020-08-29,0,1,TRUE,6,1,3,0.8,15,0.6,FALSE,0.133333333333333,FALSE,2,9,3,"Austin Springer",107,"377_Alex Caceres_2020-08-29",484
"36",108,"PFC 13 - Validation","loss","Cole Escovedo",2,"2:25","TKO (Punches)",2009-05-08,0,1,TRUE,2,1,7,1,7,1,TRUE,0,FALSE,0,7,7,"Michael McDonald",124,"108_Cole Escovedo_2009-05-08","124_Michael McDonald_2009-05-08",124,"PFC 13 - Validation","win","Michael McDonald",2,"2:25","TKO (Punches)",2009-05-08,1,0,TRUE,5,1,-3,0.733333333333333,15,0.733333333333333,FALSE,0.133333333333333,FALSE,2,11,3.66666666666667,"Cole Escovedo",108,"124_Michael McDonald_2009-05-08",232
"37",108,"TPF 5 - Stars and Strikes","win","Cole Escovedo",2,"1:12","KO (Punches)",2010-07-09,1,1,FALSE,3,3,2,0.9,10,0.9,TRUE,0.1,FALSE,1,9,4.5,"Michael McDonald",124,"108_Cole Escovedo_2010-07-09","124_Michael McDonald_2010-07-09",124,"TPF 5 - Stars and Strikes","loss","Michael McDonald",2,"1:12","KO (Punches)",2010-07-09,0,1,TRUE,6,1,5,0.8,20,0.75,TRUE,0.1,FALSE,2,15,5,"Cole Escovedo",108,"124_Michael McDonald_2010-07-09",232
"38",108,"UFC on Fuel TV 7 - Barao vs. McDonald","loss","Renan Barao",4,"3:57","Submission (Arm-Triangle Choke)",2013-02-16,0,1,TRUE,4,1,8,0.9375,16,0.8125,TRUE,0.0625,FALSE,1,13,6.5,"Michael McDonald",8,"108_Renan Barao_2013-02-16","8_Michael McDonald_2013-02-16",8,"UFC on Fuel TV 7 - Barao vs. McDonald","win","Michael McDonald",4,"3:57","Submission (Arm-Triangle Choke)",2013-02-16,1,1,FALSE,4,20,19,0.935483870967742,31,0.612903225806452,FALSE,0.032258064516129,FALSE,1,19,9.5,"Renan Barao",108,"8_Michael McDonald_2013-02-16",116
"39",108,"UFC 195 - Lawler vs. Condit","win","Masanori Kanehara",2,"2:09","Submission (Rear-Naked Choke)",2016-01-02,1,0,TRUE,7,1,-1,0.842105263157895,19,0.736842105263158,FALSE,0.157894736842105,TRUE,3,14,3.5,"Michael McDonald",143,"108_Masanori Kanehara_2016-01-02","143_Michael McDonald_2016-01-02",143,"UFC 195 - Lawler vs. Condit","loss","Michael McDonald",2,"2:09","Submission (Rear-Naked Choke)",2016-01-02,0,0,FALSE,25,2,-1,0.595238095238095,42,0.428571428571429,FALSE,0.30952380952381,FALSE,13,18,1.28571428571429,"Masanori Kanehara",108,"143_Michael McDonald_2016-01-02",251
"40",109,"WEC 45 - Cerrone vs. Ratcliff","win","Takeya Mizugaki",3,"5:00","Decision (Unanimous)",2009-12-19,1,1,FALSE,7,2,1,0.7,10,0.4,TRUE,0.1,FALSE,1,4,2,"Scott Jorgensen",113,"109_Takeya Mizugaki_2009-12-19","113_Scott Jorgensen_2009-12-19",113,"WEC 45 - Cerrone vs. Ratcliff","loss","Scott Jorgensen",3,"5:00","Decision (Unanimous)",2009-12-19,0,1,TRUE,6,1,1,0.705882352941177,17,0.294117647058824,FALSE,0.176470588235294,FALSE,3,5,1.25,"Takeya Mizugaki",109,"113_Scott Jorgensen_2009-12-19",222
