"","rowid","fighterName"
"129",129,"/fighter/Dakota-Cochrane-48554"
"130",130,"/fighter/Max-Holloway-38671"
"131",131,"/fighter/Diego-Ferreira-26358"
"132",132,"/fighter/Akira-Corassani-22641"
"133",133,"/fighter/Diego-Brandao-25097"
"134",134,"/fighter/Erik-Koch-23390"
"135",135,"/fighter/Cub-Swanson-11002"
"136",136,"/fighter/Jonathan-Brookins-17316"
"137",137,"/fighter/Chan-Sung-Jung-36155"
"138",138,"/fighter/Pablo-Garza-35448"
"139",139,"/fighter/Jason-Young-17758"
"140",140,"/fighter/Josh-Grispi-20416"
"141",141,"/fighter/Zachary-Micklewright-17128"
"142",142,"/fighter/Derek-Gauthier-23949"
"143",143,"/fighter/Derrick-Krantz-35518"
"144",144,"/fighter/Ronnie-Lis-60218"
"145",145,"/fighter/Daniel-Watts-28212"
"146",146,"/fighter/Joe-Torrez-40598"
"147",147,"/fighter/Nate-Jolly-20096"
"148",148,"/fighter/Aaron-Suarez-41017"
"149",149,"/fighter/Gilbert-Jimenez-45633"
"150",150,"/fighter/Eduard-Folayang-40882"
"151",151,"/fighter/Timofey-Nastyukhin-99259"
"152",152,"/fighter/Michael-Chandler-50829"
"153",153,"/fighter/Patricky-Freire-38544"
"154",154,"/fighter/Shinya-Aoki-10774"
"155",155,"/fighter/Pat-Curran-29224"
"156",156,"/fighter/Roger-Huerta-10089"
"157",157,"/fighter/Josh-Neer-9179"
"158",158,"/fighter/Toby-Imada-514"
"159",159,"/fighter/Eric-Reynolds-20976"
"160",160,"/fighter/Greg-Loughran-5234"
"161",161,"/fighter/Tatsuya-Kawajiri-1326"
"162",162,"/fighter/Joachim-Hansen-3177"
"163",163,"/fighter/Andre-Amado-9965"
"164",164,"/fighter/Ross-Ebanez-6334"
"165",165,"/fighter/Matt-Lee-4103"
"166",166,"/fighter/Nick-Thompson-7124"
"167",167,"/fighter/Scott-Henze-1571"
"168",168,"/fighter/Hidenobu-Koike-5850"
"169",169,"/fighter/Derrick-Noble-4556"
"170",170,"/fighter/Daisuke-Hanazawa-7683"
