"","Outcome.x","CountFights.x","PreviousOutcome.x","StreakLength.x","WinRatio.x","FinishRatio.x","FinishPrevious.x","FinishedRatio.x","FinishCount.x","FinishedCount.x","DamageDiff.x","CountFights.y","PreviousOutcome.y","StreakLength.y","WinRatio.y","FinishRatio.y","FinishPrevious.y","FinishedRatio.y","FinishCount.y","FinishedCount.y","DamageDiff.y"
"309",0,21,0,-1,0.666666666666667,0.666666666666667,FALSE,0.238095238095238,14,5,2.33333333333333,13,1,1,0.769230769230769,0.538461538461538,TRUE,0.0769230769230769,7,1,3.5
"310",1,22,0,-2,0.636363636363636,0.636363636363636,FALSE,0.272727272727273,14,6,2,28,1,2,0.642857142857143,0.571428571428571,TRUE,0.321428571428571,16,9,1.6
"311",1,23,1,1,0.652173913043478,0.652173913043478,TRUE,0.260869565217391,15,6,2.14285714285714,20,1,1,0.75,0.55,FALSE,0.05,11,1,5.5
"312",1,24,1,2,0.666666666666667,0.666666666666667,TRUE,0.25,16,6,2.28571428571429,50,1,4,0.82,0.72,TRUE,0.08,36,4,7.2
"313",0,1,1,1,1,1,TRUE,0,1,0,1,4,1,4,1,1,TRUE,0,4,0,4
"314",0,4,0,-2,0.25,0.25,FALSE,0.75,1,3,0.25,3,1,3,1,1,TRUE,0,3,0,3
"315",0,5,0,-3,0.2,0.2,FALSE,0.8,1,4,0.2,1,0,-1,0,0,FALSE,0,0,0,0
"316",0,3,1,3,1,1,TRUE,0,3,0,3,1,1,1,1,1,TRUE,0,1,0,1
"317",0,13,0,-1,0.769230769230769,0.384615384615385,FALSE,0.0769230769230769,5,1,2.5,26,0,-1,0.653846153846154,0.576923076923077,FALSE,0.230769230769231,15,6,2.14285714285714
"318",1,14,0,-2,0.714285714285714,0.357142857142857,FALSE,0.142857142857143,5,2,1.66666666666667,7,1,1,0.714285714285714,0.714285714285714,TRUE,0.285714285714286,5,2,1.66666666666667
"319",0,19,0,-1,0.684210526315789,0.263157894736842,FALSE,0.210526315789474,5,4,1,21,1,1,0.619047619047619,0.571428571428571,TRUE,0.142857142857143,12,3,3
"320",1,4,1,3,0.75,0.5,FALSE,0.25,2,1,1,22,0,-4,0.318181818181818,0.0909090909090909,FALSE,0.318181818181818,2,7,0.25
"321",0,7,1,1,0.714285714285714,0.428571428571429,TRUE,0.285714285714286,3,2,1,7,1,2,0.857142857142857,0.571428571428571,TRUE,0,4,0,4
"322",0,15,0,-1,0.8,0.466666666666667,FALSE,0.133333333333333,7,2,2.33333333333333,12,0,-3,0.583333333333333,0.416666666666667,FALSE,0.416666666666667,5,5,0.833333333333333
"323",0,18,1,2,0.777777777777778,0.388888888888889,FALSE,0.111111111111111,7,2,2.33333333333333,8,1,7,0.875,0.875,TRUE,0.125,7,1,3.5
"324",1,21,1,2,0.761904761904762,0.333333333333333,FALSE,0.142857142857143,7,3,1.75,46,1,9,0.847826086956522,0.630434782608696,TRUE,0.108695652173913,29,5,4.83333333333333
"325",0,27,1,3,0.777777777777778,0.296296296296296,FALSE,0.148148148148148,8,4,1.6,51,1,3,0.823529411764706,0.627450980392157,TRUE,0.137254901960784,32,7,4
"326",1,8,1,7,0.875,0.875,TRUE,0.125,7,1,3.5,18,1,2,0.777777777777778,0.388888888888889,FALSE,0.111111111111111,7,2,2.33333333333333
"327",1,7,1,7,1,0.857142857142857,FALSE,0,6,0,6,10,1,5,0.9,0.7,TRUE,0,7,0,7
"328",1,11,1,11,1,0.818181818181818,TRUE,0,9,0,9,15,1,4,0.933333333333333,0.6,TRUE,0,9,0,9
"329",0,13,0,-1,0.923076923076923,0.769230769230769,FALSE,0,10,0,10,14,1,4,0.928571428571429,0.571428571428571,FALSE,0.0714285714285714,8,1,4
"330",0,14,0,-2,0.857142857142857,0.714285714285714,FALSE,0,10,0,10,15,1,5,0.933333333333333,0.533333333333333,FALSE,0.0666666666666667,8,1,4
"331",1,15,0,-3,0.8,0.666666666666667,FALSE,0.0666666666666667,10,1,5,19,1,1,0.789473684210526,0.473684210526316,TRUE,0.105263157894737,9,2,3
"332",1,16,1,1,0.8125,0.6875,TRUE,0.0625,11,1,5.5,20,0,-1,0.8,0.5,FALSE,0.15,10,3,2.5
"333",1,17,1,2,0.823529411764706,0.705882352941177,TRUE,0.0588235294117647,12,1,6,23,1,2,0.695652173913043,0.478260869565217,FALSE,0.0869565217391304,11,2,3.66666666666667
"334",1,18,1,3,0.833333333333333,0.722222222222222,TRUE,0.0555555555555556,13,1,6.5,30,1,1,0.8,0.433333333333333,TRUE,0.1,13,3,3.25
"335",1,21,1,1,0.80952380952381,0.619047619047619,FALSE,0.0952380952380952,13,2,4.33333333333333,22,1,1,0.681818181818182,0.5,TRUE,0.181818181818182,11,4,2.2
"336",1,25,1,1,0.8,0.6,TRUE,0.12,15,3,3.75,36,1,4,0.777777777777778,0.388888888888889,FALSE,0.0833333333333333,14,3,3.5
"337",1,26,1,2,0.807692307692308,0.615384615384615,TRUE,0.115384615384615,16,3,4,29,0,-1,0.689655172413793,0.586206896551724,FALSE,0.103448275862069,17,3,4.25
"338",1,8,1,3,0.875,0.625,FALSE,0,5,0,5,25,1,2,0.76,0.52,FALSE,0.04,13,1,6.5
