"","rowid","Result","Fighter","Event","Method.Referee","R","Time","Date","VS..Fighter","Location","NA."
"130","5","win","Anthony Njokuani","UFC 128 - Shogun vs. JonesMar / 19 / 2011","Decision (Unanimous)Keith Peterson",3,"5:00",NA,NA,NA,NA
"131","5","win","Mike Lullo","UFC 123 - Rampage vs. MachidaNov / 20 / 2010","TKO (Leg Kicks)Marc Fennel",3,"0:26",NA,NA,NA,NA
"132","5","win","Marcelo Giudici","ROC 30 - Ring of Combat 30Jun / 11 / 2010","TKO (Leg Kicks)Kevin Mulhall",1,"3:01",NA,NA,NA,NA
"133","5","win","Jose Figueroa","RMMA - Renaissance MMA 16Mar / 05 / 2010","KO (Punch)N/A",1,"3:55",NA,NA,NA,NA
"134","5","win","Nabih Barakat","ROC 28 - Ring of Combat 28Feb / 19 / 2010","KO (Punches)Kevin Mulhall",1,"1:09",NA,NA,NA,NA
"135","5","win","Lee King","RMMA - Renaissance MMA 15Nov / 20 / 2009","Submission (Anaconda Choke)N/A",1,"2:04",NA,NA,NA,NA
"136","5","win","Lee King","RMMA - Renaissance MMA 12Jun / 13 / 2009","KO (Punches)N/A",2,"1:14",NA,NA,NA,NA
"137","5","win","Aaron Steadman","RFC 17 - Street KingsApr / 17 / 2009","TKO (Punches)Troy Waugh",1,"3:34",NA,NA,NA,NA
"138","6",NA,NA,"UFC Fight Night 184
                                        
                                        
                                            
                                                February 06, 2021 / UFC Apex, Las Vegas, Nevada, United States
                                                
                                            
                                            
                                                Versus
                                                
                                                    
                                                    Michael Johnson
                                                    19 - 16 - 0
                                                    (Win - Loss - Draw)
                                                
                                                
                                                    
                                                    Clay Guida
                                                    35 - 20 - 0
                                                    (Win - Loss - Draw)
                                                
                                            
                                            
                                                See entire fight card",NA,NA,NA,"UFC Fight Night 184
                                        
                                        
                                            
                                                February 06, 2021 / UFC Apex, Las Vegas, Nevada, United States
                                                
                                            
                                            
                                                Versus
                                                
                                                    
                                                    Michael Johnson
                                                    19 - 16 - 0
                                                    (Win - Loss - Draw)
                                                
                                                
                                                    
                                                    Clay Guida
                                                    35 - 20 - 0
                                                    (Win - Loss - Draw)
                                                
                                            
                                            
                                                See entire fight card","UFC Fight Night 184
                                        
                                        
                                            
                                                February 06, 2021 / UFC Apex, Las Vegas, Nevada, United States
                                                
                                            
                                            
                                                Versus
                                                
                                                    
                                                    Michael Johnson
                                                    19 - 16 - 0
                                                    (Win - Loss - Draw)
                                                
                                                
                                                    
                                                    Clay Guida
                                                    35 - 20 - 0
                                                    (Win - Loss - Draw)
                                                
                                            
                                            
                                                See entire fight card","UFC Fight Night 184
                                        
                                        
                                            
                                                February 06, 2021 / UFC Apex, Las Vegas, Nevada, United States
                                                
                                            
                                            
                                                Versus
                                                
                                                    
                                                    Michael Johnson
                                                    19 - 16 - 0
                                                    (Win - Loss - Draw)
                                                
                                                
                                                    
                                                    Clay Guida
                                                    35 - 20 - 0
                                                    (Win - Loss - Draw)
                                                
                                            
                                            
                                                See entire fight card",NA
"139","7","win","Vadim Ogar","CFFC 91 - Cage Fury Fighting Championships 91Dec / 18 / 2020","TKO (Punches)Bill Bookwalter",1,"0:29",NA,NA,NA,NA
"140","7","loss","Roosevelt Roberts","UFC - The Ultimate Fighter 28 FinaleNov / 30 / 2018","Submission (Guillotine Choke)Yves Lavigne",1,"4:50",NA,NA,NA,NA
"141","7","loss","Scott Holtzman","UFC Fight Night 123 - Swanson vs. OrtegaDec / 09 / 2017","Decision (Unanimous)Mike Beltran",3,"5:00",NA,NA,NA,NA
"142","7","win","Devin Powell","UFC Fight Night 112 - Chiesa vs. LeeJun / 25 / 2017","Decision (Split)Kevin MacDonald",3,"5:00",NA,NA,NA,NA
"143","7","loss","Khabib Nurmagomedov","UFC on Fox 19 - Teixeira vs. EvansApr / 16 / 2016","TKO (Punches)James Warring",2,"3:38",NA,NA,NA,NA
"144","7","win","Stephen Regman","CFFC 52 - Horcher vs. RegmanOct / 31 / 2015","TKO (Punches)Vitor Ribeiro",3,"3:23",NA,NA,NA,NA
"145","7","win","Jordan Stiner","CFFC 45 - Stiner vs. HorcherFeb / 07 / 2015","TKO (Head Kick and Punches)Vitor Ribeiro",3,"3:45",NA,NA,NA,NA
"146","7","win","Alessandro Ricci","CFFC 40 - Horcher vs. RicciAug / 23 / 2014","Decision (Unanimous)Jimmy Chapel",3,"5:00",NA,NA,NA,NA
"147","7","win","Gabriel Miglioli","CFFC 35 - Heckman vs. MakashviliApr / 26 / 2014","Decision (Unanimous)Keith Peterson",3,"5:00",NA,NA,NA,NA
"148","7","win","Mike Medrano","CFFC 30 - Sterling vs. RobertsNov / 02 / 2013","Decision (Unanimous)Gasper Oliver",3,"5:00",NA,NA,NA,NA
"149","7","loss","Phillipe Nover","Bellator MMA - Bellator 95Apr / 04 / 2013","Decision (Unanimous)Gasper Oliver",3,"5:00",NA,NA,NA,NA
"150","7","win","Chris Liguori","BFC - Bellator Fighting Championships 83Dec / 07 / 2012","Decision (Unanimous)Greg Franklin",3,"5:00",NA,NA,NA,NA
"151","7","win","E.J. Brooks","BFC - Bellator Fighting Championships 77Oct / 19 / 2012","KO (Punch)Mario Yamasaki",1,"0:21",NA,NA,NA,NA
"152","7","win","George Sheppard","CDMMA - Complete Devastation 5Jul / 14 / 2012","KO (Punches)Chip Snider",2,"2:36",NA,NA,NA,NA
"153","7","win","Jon Washington","PFC 6 - Pennsylvania Fighting Championship 6Nov / 19 / 2011","Decision (Unanimous)N/A",3,"5:00",NA,NA,NA,NA
"154","7","win","Terrell Hobbs","PFC 5 - Pennsylvania Fighting Championship 5Mar / 25 / 2011","Submission (Kimura)Keith Peterson",2,"3:34",NA,NA,NA,NA
"155","7","win","William Metts","PFC  - PA Fighting Championships 4Nov / 20 / 2010","TKO (Punches)Keith Peterson",1,"4:40",NA,NA,NA,NA
"156","7","win","Steve Franklin","FNITC - Fight Night in the Cage 1Sep / 10 / 2010","TKO (Punches)Keith Peterson",1,"0:48",NA,NA,NA,NA
"157","8","win","Paul Felder","UFC Fight Night 182 - Felder vs. dos AnjosNov / 14 / 2020","Decision (Split)Herb Dean",5,"5:00",NA,NA,NA,NA
