"","FighterId.x","Result.x","Opponent.x","Event.x","Round.x","Time.x","Method.x","DateEvent.x","Outcome.x","PreviousOutcome.x","start.x","streak_id.x","streak.x","StreakLength.x","WinRatio.x","CountFights.x","FinishRatio.x","FinishPrevious.x","FinishedRatio.x","FinishedPrevious.x","FinishedCount.x","FinishCount.x","DamageDiff.x","Fighter.x","OpponentId.x","FighterComposite","OpponentComposite","FighterId.y","Result.y","Opponent.y","Event.y","Round.y","Time.y","Method.y","DateEvent.y","Outcome.y","PreviousOutcome.y","start.y","streak_id.y","streak.y","StreakLength.y","WinRatio.y","CountFights.y","FinishRatio.y","FinishPrevious.y","FinishedRatio.y","FinishedPrevious.y","FinishedCount.y","FinishCount.y","DamageDiff.y","Fighter.y","OpponentId.y","FighterComposite.y","IdKey"
"1002",138,"loss","Conor McGregor","UFC 178 - Johnson vs. Cariaso",1,"1:46","TKO (Punches)",2014-09-27,0,1,TRUE,8,1,3,0.842105263157895,19,0.684210526315789,TRUE,0.0526315789473684,FALSE,1,13,6.5,"Dustin Poirier",70,"138_Conor McGregor_2014-09-27","70_Dustin Poirier_2014-09-27",70,"win","Dustin Poirier","UFC 178 - Johnson vs. Cariaso",1,"1:46","TKO (Punches)",2014-09-27,1,1,FALSE,5,12,11,0.882352941176471,17,0.823529411764706,TRUE,0.117647058823529,FALSE,2,14,4.66666666666667,"Conor McGregor",138,"70_Dustin Poirier_2014-09-27",208
"1003",138,"win","Yancy Medeiros","UFC Fight Night 68 - Boetsch vs. Henderson",1,"2:38","TKO (Punches)",2015-06-06,1,1,FALSE,9,2,1,0.80952380952381,21,0.666666666666667,TRUE,0.0952380952380952,FALSE,2,14,4.66666666666667,"Dustin Poirier",79,"138_Yancy Medeiros_2015-06-06","79_Dustin Poirier_2015-06-06",79,"loss","Dustin Poirier","UFC Fight Night 68 - Boetsch vs. Henderson",1,"2:38","TKO (Punches)",2015-06-06,0,1,TRUE,4,1,2,0.785714285714286,14,0.642857142857143,TRUE,0.214285714285714,FALSE,3,9,2.25,"Yancy Medeiros",138,"79_Dustin Poirier_2015-06-06",217
"1004",138,"win","Joseph Duffy","UFC 195 - Lawler vs. Condit",3,"5:00","Decision (Unanimous)",2016-01-02,1,1,FALSE,9,3,2,0.818181818181818,22,0.681818181818182,TRUE,0.0909090909090909,FALSE,2,15,5,"Dustin Poirier",78,"138_Joseph Duffy_2016-01-02","78_Dustin Poirier_2016-01-02",78,"loss","Dustin Poirier","UFC 195 - Lawler vs. Condit",3,"5:00","Decision (Unanimous)",2016-01-02,0,1,TRUE,4,1,4,0.933333333333333,15,0.866666666666667,TRUE,0.0666666666666667,FALSE,1,13,6.5,"Joseph Duffy",138,"78_Dustin Poirier_2016-01-02",216
"1005",138,"win","Anthony Pettis","UFC Fight Night 120 - Poirier vs. Pettis",3,"2:08","Submission (Body Triangle)",2017-11-11,1,0,TRUE,13,1,-1,0.777777777777778,27,0.592592592592593,FALSE,0.148148148148148,TRUE,4,16,3.2,"Dustin Poirier",75,"138_Anthony Pettis_2017-11-11","75_Dustin Poirier_2017-11-11",75,"loss","Dustin Poirier","UFC Fight Night 120 - Poirier vs. Pettis",3,"2:08","Submission (Body Triangle)",2017-11-11,0,1,TRUE,10,1,1,0.769230769230769,26,0.615384615384615,FALSE,0.0384615384615385,FALSE,1,16,8,"Anthony Pettis",138,"75_Dustin Poirier_2017-11-11",213
"1006",138,"win","Justin Gaethje","UFC on Fox 29 - Poirier vs. Gaethje",4,"0:33","TKO (Punches)",2018-04-14,1,1,FALSE,13,2,1,0.785714285714286,28,0.607142857142857,TRUE,0.142857142857143,FALSE,4,17,3.4,"Dustin Poirier",74,"138_Justin Gaethje_2018-04-14","74_Dustin Poirier_2018-04-14",74,"loss","Dustin Poirier","UFC on Fox 29 - Poirier vs. Gaethje",4,"0:33","TKO (Punches)",2018-04-14,0,0,FALSE,2,2,-1,0.947368421052632,19,0.842105263157895,FALSE,0.0526315789473684,TRUE,1,16,8,"Justin Gaethje",138,"74_Dustin Poirier_2018-04-14",212
"1007",138,"loss","Khabib Nurmagomedov","UFC 242 - Khabib vs. Poirier",3,"2:06","Submission (Rear-Naked Choke)",2019-09-07,0,1,TRUE,14,1,4,0.806451612903226,31,0.612903225806452,FALSE,0.129032258064516,FALSE,4,19,3.8,"Dustin Poirier",72,"138_Khabib Nurmagomedov_2019-09-07","72_Dustin Poirier_2019-09-07",72,"win","Dustin Poirier","UFC 242 - Khabib vs. Poirier",3,"2:06","Submission (Rear-Naked Choke)",2019-09-07,1,1,FALSE,1,28,27,1,27,0.62962962962963,TRUE,0,FALSE,0,17,17,"Khabib Nurmagomedov",138,"72_Dustin Poirier_2019-09-07",210
"1008",138,"win","Dan Hooker","UFC on ESPN 12 - Poirier vs. Hooker",5,"5:00","Decision (Unanimous)",2020-06-27,1,0,TRUE,15,1,-1,0.78125,32,0.59375,FALSE,0.15625,TRUE,5,19,3.16666666666667,"Dustin Poirier",71,"138_Dan Hooker_2020-06-27","71_Dustin Poirier_2020-06-27",71,"loss","Dustin Poirier","UFC on ESPN 12 - Poirier vs. Hooker",5,"5:00","Decision (Unanimous)",2020-06-27,0,1,TRUE,16,1,3,0.714285714285714,28,0.607142857142857,FALSE,0.107142857142857,FALSE,3,17,4.25,"Dan Hooker",138,"71_Dustin Poirier_2020-06-27",209
"1009",138,"win","Conor McGregor","UFC 257 - Poirier vs. McGregor 2",2,"2:32","TKO (Punches)",2021-01-23,1,1,FALSE,15,2,1,0.787878787878788,33,0.575757575757576,FALSE,0.151515151515152,FALSE,5,19,3.16666666666667,"Dustin Poirier",70,"138_Conor McGregor_2021-01-23","70_Dustin Poirier_2021-01-23",70,"loss","Dustin Poirier","UFC 257 - Poirier vs. McGregor 2",2,"2:32","TKO (Punches)",2021-01-23,0,1,TRUE,10,1,1,0.846153846153846,26,0.769230769230769,TRUE,0.153846153846154,FALSE,4,20,4,"Conor McGregor",138,"70_Dustin Poirier_2021-01-23",208
"1010",1382,"win","Tony Gravely","UFC Fight Night 166 - Blaydes vs. dos Santos",3,"2:53","Submission (Rear-Naked Choke)",2020-01-25,1,0,TRUE,3,1,-2,0.882352941176471,17,0.411764705882353,FALSE,0,FALSE,0,7,7,"Brett Johns",1401,"1382_Tony Gravely_2020-01-25","1401_Brett Johns_2020-01-25",1401,"loss","Brett Johns","UFC Fight Night 166 - Blaydes vs. dos Santos",3,"2:53","Submission (Rear-Naked Choke)",2020-01-25,0,1,TRUE,10,1,7,0.791666666666667,24,0.458333333333333,TRUE,0.166666666666667,FALSE,4,11,2.2,"Tony Gravely",1382,"1401_Brett Johns_2020-01-25",2783
"1011",1383,"win","Domingo Pilarte","UFC on ESPN 4 - Dos Anjos vs. Edwards",3,"5:00","Decision (Split)",2019-07-20,1,0,TRUE,3,1,-1,0.888888888888889,9,0.777777777777778,FALSE,0,FALSE,0,7,7,"Felipe Dias Colares",1596,"1383_Domingo Pilarte_2019-07-20","1596_Felipe Dias Colares_2019-07-20",1596,"loss","Felipe Dias Colares","UFC on ESPN 4 - Dos Anjos vs. Edwards",3,"5:00","Decision (Split)",2019-07-20,0,1,TRUE,4,1,5,0.888888888888889,9,0.666666666666667,TRUE,0,FALSE,0,6,6,"Domingo Pilarte",1383,"1596_Felipe Dias Colares_2019-07-20",2979
"1012",1388,"loss","Arnold Berdon","VFC 54 - Pitolo vs. Kayne 2",1,"0:21","KO (Punch)",2016-12-09,0,0,FALSE,2,2,-1,0.666666666666667,3,0.333333333333333,FALSE,0,FALSE,0,1,1,"Terrence Almond",1501,"1388_Arnold Berdon_2016-12-09","1501_Terrence Almond_2016-12-09",1501,"win","Terrence Almond","VFC 54 - Pitolo vs. Kayne 2",1,"0:21","KO (Punch)",2016-12-09,1,1,FALSE,3,2,1,0.8,5,0.6,TRUE,0.2,FALSE,1,3,1.5,"Arnold Berdon",1388,"1501_Terrence Almond_2016-12-09",2889
"1013",1389,"loss","Alonzo Martinez","VFC 10 - Championship X",1,"4:48","Submission (Rear-Naked Choke)",2005-08-06,0,0,FALSE,6,3,-2,0.6,10,0.3,FALSE,0.2,FALSE,2,3,1,"Sean Huffman",1487,"1389_Alonzo Martinez_2005-08-06","1487_Sean Huffman_2005-08-06",1487,"win","Sean Huffman","VFC 10 - Championship X",1,"4:48","Submission (Rear-Naked Choke)",2005-08-06,1,0,TRUE,8,1,-2,0.416666666666667,12,0.416666666666667,FALSE,0.583333333333333,TRUE,7,5,0.625,"Alonzo Martinez",1389,"1487_Sean Huffman_2005-08-06",2876
