"","Result.x","Method.x","Fighter.x","Opponent.x","CountFights.x","PreviousOutcome.x","StreakLength.x","WinRatio.x","FinishRatio.x","FinishPrevious.x","FinishedRatio.x","FinishCount.x","FinishedCount.x","DamageDiff.x","CountFights.y","PreviousOutcome.y","StreakLength.y","WinRatio.y","FinishRatio.y","FinishPrevious.y","FinishedRatio.y","FinishCount.y","FinishedCount.y","DamageDiff.y","delta_FP","delta_FIP","delta_FC","delta_FIC"
"141","loss","Decision (Unanimous)","Alan Jouban","Mike Rhodes",8,1,6,0.875,0.75,TRUE,0.125,6,1,3,6,1,1,0.833333333333333,0.666666666666667,TRUE,0.166666666666667,4,1,2,0,0,2,0
"142","win","KO (Punch)","Alan Jouban","Seth Baczynski",11,1,2,0.818181818181818,0.636363636363636,FALSE,0.0909090909090909,7,1,3.5,27,0,-1,0.666666666666667,0.592592592592593,FALSE,0.185185185185185,16,5,2.66666666666667,0,0,-9,-4
"143","loss","Decision (Unanimous)","Alan Jouban","Warlley Alves",12,1,3,0.833333333333333,0.666666666666667,TRUE,0.0833333333333333,8,1,4,7,1,7,1,0.714285714285714,TRUE,0,5,0,5,0,0,3,1
"144","win","KO (Elbow and Punch)","Alan Jouban","Richard Walsh",13,0,-1,0.769230769230769,0.615384615384615,FALSE,0.0769230769230769,8,1,4,10,0,-1,0.8,0.5,FALSE,0.1,5,1,2.5,0,0,3,0
"145","win","Decision (Unanimous)","Alan Jouban","Matt Dwyer",14,1,1,0.785714285714286,0.642857142857143,TRUE,0.0714285714285714,9,1,4.5,10,1,1,0.8,0.8,TRUE,0.2,8,2,2.66666666666667,0,0,1,-1
"146","loss","TKO (Head Kick and Punches)","Alan Jouban","Albert Tumenov",15,1,2,0.8,0.6,FALSE,0.0666666666666667,9,1,4.5,17,1,3,0.882352941176471,0.588235294117647,FALSE,0,10,0,10,0,0,-1,1
"147","win","Decision (Unanimous)","Alan Jouban","Mike Perry",18,1,2,0.777777777777778,0.555555555555556,FALSE,0.111111111111111,10,2,3.33333333333333,9,1,9,1,1,TRUE,0,9,0,9,-1,0,1,2
"148","loss","Submission (Guillotine Choke)","Alan Jouban","Gunnar Nelson",19,1,3,0.789473684210526,0.526315789473684,FALSE,0.105263157894737,10,2,3.33333333333333,18,1,1,0.833333333333333,0.777777777777778,TRUE,0.0555555555555556,14,1,7,-1,0,-4,1
"149","loss","TKO (Punches)","Alan Jouban","Niko Price",20,0,-1,0.75,0.5,FALSE,0.15,10,3,2.5,10,0,-1,0.9,0.8,FALSE,0.1,8,1,4,0,0,2,2
"150","win","KO (Punch)","Alan Jouban","Ben Saunders",21,0,-2,0.714285714285714,0.476190476190476,FALSE,0.19047619047619,10,4,2,31,0,-1,0.67741935483871,0.516129032258065,FALSE,0.225806451612903,16,7,2,0,0,-6,-3
